wise_designation,ps_ra,ps_dec
J103419.72+191222.1,158.58214,19.20616
J103456.30+035859.4,158.73464,3.98317
J103531.16+594746.9,158.87987,59.79641
J103626.88+132651.8,159.11202,13.44772
J103720.64+233600.0,159.33603,23.60005
J103730.33+213531.4,159.37638,21.59205
J103909.50-231326.3,159.78961,-23.224
J104018.51+572448.0,160.07719,57.41337
J104125.75+452335.7,160.3573,45.39334
J104139.01-094437.9,160.41249,-9.74387
J104232.86+170844.0,160.63697,17.14555
J104451.30+243350.7,161.21373,24.56406
J104627.94-233917.5,161.61643,-23.65487
J104713.54-064538.1,161.80644,-6.76061
J104949.46+593438.7,162.45611,59.57743
J105122.47+310749.3,162.84361,31.13039
J105122.69-065047.8,162.84454,-6.84662
J105254.50+254303.9,163.22706,25.71774
J105311.53+294808.2,163.29806,29.80229
J105353.49+253115.4,163.47291,25.52097
J105410.25+264901.9,163.54273,26.81722
J105449.67-171107.3,163.70699,-17.18539
J105714.81+440323.8,164.31174,44.05662
J105756.25+455553.1,164.48443,45.93141
J110848.48-102207.1,167.20202,-10.3687
J110911.58+322856.8,167.29829,32.48245
J111008.61+024458.1,167.53589,2.74948
J111054.68-301129.9,167.72786,-30.19165
J111055.22+430510.0,167.73007,43.08616
J111101.30-150518.3,167.75541,-15.08846
J111119.10+133603.8,167.82959,13.60106
J111120.59+243740.8,167.83578,24.62802
J111305.34-212540.5,168.27226,-21.42796
J111320.04+121548.7,168.33353,12.26358
J111332.45-030914.0,168.38524,-3.15393
J111334.58-075033.5,168.39411,-7.84264
J111350.62-153333.8,168.46089,-15.55945
J111403.25-050234.9,168.51357,-5.04308
J111428.30-040938.7,168.61795,-4.16077
J111938.14+224614.1,169.9089,22.77064
J111956.99-192832.5,169.98745,-19.47567
J112010.30-134625.8,170.04299,-13.77388
J112044.32+442355.4,170.1847,44.39872
J112258.77+164540.2,170.7449,16.76121
J112440.80+550233.6,171.17004,55.04269
J112554.71+571841.4,171.47799,57.3115
J112939.60-233349.6,172.41502,-23.56379
J112947.66+410656.9,172.44861,41.11583
J113002.35+115438.3,172.50979,11.91066
J113010.57+041128.1,172.54406,4.19116
J113334.23+130552.8,173.39262,13.0981
J113355.64-230524.3,173.48184,-23.09011
J113439.18+290148.3,173.66332,29.03011
J113441.22+671751.4,173.67172,67.29761
J113508.09+222715.5,173.78374,22.45433
J113536.39+084219.1,173.90168,8.70528
J113559.42+422004.5,173.99757,42.33458
J113621.04+005021.2,174.08771,0.83924
J113840.63+343554.2,174.66931,34.59839
J114308.85+345221.9,175.78701,34.87284
J114323.71+193447.9,175.84882,19.58001
J114417.31-054534.5,176.07211,-5.75964
J114534.57+171419.5,176.39402,17.23876
J114544.85+011024.0,176.43691,1.17334
J114548.40+393746.8,176.45159,39.62964
J114738.34+301717.7,176.90982,30.28821
J114755.61+293854.2,176.9817,29.64834
J114851.47+231340.4,177.21447,23.2279
J114914.37-153043.8,177.30991,-15.5122
J115542.90+552329.8,178.92884,55.39161
J115632.35-072113.9,179.13494,-7.35396
J115659.59+551308.2,179.24834,55.21895
J115732.49+242351.5,179.38543,24.39768
J115906.52+133737.8,179.77718,13.62713
J115911.53+313427.2,179.79805,31.57423
J115954.33+201921.1,179.97638,20.32254
J120039.82+401556.3,180.16589,40.2656
J120100.95+244447.0,180.25395,24.74638
J120105.38+290352.3,180.27239,29.06449
J120147.91+120630.2,180.44963,12.1084
J120152.66+195232.3,180.46936,19.87563
J120443.63+651955.8,181.18182,65.33214
J120447.14+330938.7,181.19646,33.16076
J120523.13-074232.8,181.3464,-7.7091
J120600.46+295150.2,181.50194,29.86391
J120704.93+414507.1,181.77056,41.75203
J120917.93+113830.4,182.32474,11.64177
J120929.54-051737.0,182.37312,-5.29363
J120934.53+553745.5,182.39389,55.62931
J120949.76+453400.6,182.45729,45.56679
J121016.80+805603.1,182.57001,80.93423
J121030.33-095725.1,182.62638,-9.95705
J121057.03+095426.9,182.73764,9.90749
J121232.05+150725.8,183.13354,15.12378
J121455.87+514312.5,183.73282,51.71994
J121919.99+204912.5,184.83326,20.82014
J122000.82+254230.7,185.00346,25.70851
J122153.20+235324.3,185.47167,23.8901
J122154.35+262402.5,185.47649,26.40072
J122343.16+503753.4,185.92987,50.6315
J122735.72+254543.3,186.89881,25.76201
J123010.02-063333.9,187.54181,-6.55947
J123056.29+345201.7,187.73456,34.86716
J123430.55+170148.9,188.62729,17.03
J123612.04-113600.6,189.0502,-11.60017
J123641.45+655442.2,189.17274,65.91172
J124544.23-150341.5,191.43429,-15.06157
J124610.73+751710.8,191.54481,75.28641
J124615.10+713923.6,191.56287,71.65655
J124837.31+130440.8,192.15549,13.07804
J124911.95+215448.8,192.29981,21.91356
J124957.24-015928.7,192.4885,-1.99133
J125217.93+355911.6,193.07472,35.98658
J125849.58+233855.4,194.70666,23.64876
J125850.96-185430.6,194.7124,-18.90848
J125903.25+621211.6,194.76359,62.20325
J125958.73+610122.6,194.99473,61.02295
J130031.12-282931.0,195.12972,-28.49195
J130148.24-144652.1,195.45113,-14.78131
J130230.43-102628.4,195.62681,-10.44128
J130337.22+194926.9,195.90508,19.82411
J130409.49-000833.8,196.03957,-0.14274
J130500.90-122618.6,196.25377,-12.43855
J130504.74+301206.8,196.26977,30.20191
J130525.21-142041.8,196.35507,-14.34497
J130649.70+615232.7,196.70701,61.87586
J130726.09+403628.1,196.85941,40.60832
J131048.17+361557.7,197.70071,36.26604
J131105.50+510038.6,197.77299,51.01059
