wise_designation,obs_sdss_ra,obs_sdss_dec,obs_psfmag_i,obs_tel,obs_date,obs_obs,obs_instrument,obs_class1,obs_class2,obs_z,obs_specfile,target,comment,ELQS_target,PS_ELQS_target,PS_ELQS_target_old
J181914.83+333946.0,274.8116796,33.66277311,17.73525069,MMT,171020,Schindler,RedChannel,QSO,QSO,3.61,J1819+3339,,,,priority_1,old_priority_1
J182000.26+631037.0,275.0010872,63.17690239,17.63160372,VATT,180518,"Schindler, Littke, Hughes",VattSpec,QSO,BAL,2.235,J1820+6310,PS-ELQS,,,,
J182904.71+783106.4,277.26982799999996,78.51845919,18.13093949,MMT,180514,"Schindler, Wenzl",RedChannel,QSO,QSO,2.2,J1829+7831,4,,,,
J191946.08+743747.1,289.9419801,74.62975169,17.86329646,VATT,180518,"Schindler, Littke, Hughes",VattSpec,QSO,BAL,1.604,J1919+7437,REOBS,,,,
J193512.40-261049.5,293.8016775,-26.18045163,17.19529611,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.175,J1935-2610,,,,priority_3,old_priority_3
J200013.52-250536.7,300.0563141,-25.09358826,17.7158538,SOAR,171006,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.575,J2000-2505,,,,priority_1,old_priority_1
J200205.97-232826.8,300.5248693,-23.47403315,17.81911164,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,2.94,J2002-2328_a,,,,priority_3,old_priority_3
J200646.76-270551.5,301.6945992,-27.09772222,18.17761972,SOAR,180604,Schindler,GoodmanHTS,STAR,K,-999.0,J2006-2705,5,,,,
J200843.79-144021.8,302.18248819999997,-14.67273838,17.93984633,SOAR,171007,"Schindler, Yue",GoodmanHTS,STAR,UNID,-999.0,J2008-1440,,,,priority_2,old_priority_2
J201023.34-182347.8,302.59730410000003,-18.39659789,18.15460031,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.44,J2010-1823,,,,priority_4,old_priority_4
J201158.75-262341.0,302.99486060000004,-26.39470805,17.46752861,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.62,J2011-2623,,,,priority_2,old_priority_2
J201322.74-123406.4,303.344767,-12.56850447,18.02244,MMT,170518,Schindler,RedChannelSpectrograph,QSO,QSO,3.015,J2013-1234_alt,ELQS,J2013-1234,primary,,
J201703.82-101449.5,304.2659102,-10.24713174,19.04318811,SOAR,180603,Schindler,GoodmanHTS,STAR,M,-999.0,J2017-1014_a,Highz_Lukas,,,,
J201741.49-281629.9,304.42289280000006,-28.27498852,17.40410857,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.69,J2017-2816,,,,priority_2,old_priority_2
J201834.86-152838.5,304.64525160000005,-15.47741328,17.35432031,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.58,J2018-1528,,,,priority_1,old_priority_1
