,wise_designation,wise_ra,wise_dec,wise_mag_w1,wise_sigmag_w1,wise_mag_w2,wise_sigmag_w2,wise_mag_w3,wise_sigmag_w3,wise_mag_w4,wise_sigmag_w4,tmass_j,tmass_j_sigma,tmass_h,tmass_h_sigma,tmass_k,tmass_k_sigma,ps_ra,ps_dec,ps_objid,ps_mag_g,ps_mag_r,ps_mag_i,ps_mag_z,ps_mag_y,ps_magerr_g,ps_magerr_r,ps_magerr_i,ps_magerr_z,ps_magerr_y,gaia_id,gaia_ra,gaia_dec,gaia_parallax,gaia_parallax_err,gaia_parallax_over_err,gaia_pmra,gaia_pmra_err,gaia_pmdec,gaia_pmdec_err,gaia_astrometric_excess_noise,gaia_meanmag_g,gaia_meanmag_bp,gaia_meanmag_rp,gaia_meanmagerr_g,gaia_meanmagerr_rp,gaia_meanmagerr_bp,gaia_bprp_excess_factor,pm_abs,gaia_bp_rp,l,b,ebv
34,J162859.08-075236.8,247.2462027,-7.8768967,13.764,0.026,13.346,0.031,10.463,0.1,8.267,-9999.0,16.398,0.125,15.36,0.108,14.55,0.102,247.24594954827973,-7.877019234113527,428384333104381,21.042307,19.753923,18.760332,18.317646,18.013151,0.052178197,0.040231008,0.027463289,0.0349277,0.025929624,5263124667652176744,247.24594226481756,-7.8770166422627215,0.14707357454431644,0.7457095489857657,0.19722635,-0.7070589488935897,1.4712745326023895,0.6616428303235323,0.878222119510789,1.31260689462666,19.740675,20.375433,18.115017,0.00535996810379,0.0184682612719,0.096406460897,2.3126843,0.9377035921290424,2.260416,7.380585298804013,26.799642949132778,0.2852891
35,J151939.06-011658.9,229.9127505,-1.2830361,14.397,0.088,14.071,0.088,11.892,-9999.0,9.265,0.501,13.82,-9999.0,15.71,0.39,13.177,-9999.0,229.91239427673892,-1.2831778916008487,385615048764795,14.569,19.745789,18.431797,18.18002,17.73198,0.6,0.033518586,1.5329935e-06,0.014257222,0.01861412,4777984953105337839,229.9123972679771,-1.2831810241712767,0.9750963193234676,0.6513658964421318,1.4970024,-8.55774118687786,1.0898958716897307,-2.409432237673748,1.0589269000102692,0.7411173349828236,19.476992,20.164442,18.133749,0.00634565004739,0.0570057857509,0.185116969107,1.8572236,79.04029792952723,2.030693,0.43336993080758984,44.41829490987278,0.101854905
36,J012037.27+401658.8,20.1553087,40.2830062,14.679,0.029,14.343,0.043,12.93,0.519,9.435,-9999.0,16.906,0.173,15.651,0.135,15.104,0.135,20.155177326186458,40.28294969871599,236072877440798,21.108747,19.777573,18.767382,18.377752,18.008608,0.046894822,0.02785643,0.0169596,0.013621974,0.051343367,-5574383215335951507,20.155157396999908,40.28294289910352,0.7671397790340904,1.1800338232717522,0.6500998,9.052307542420944,2.7500977504930724,-1.6847716720865273,3.0636522622307223,4.617518054506239,20.128792,20.222782,18.141092,0.015850196796,0.034859928507,0.125731619384,3.3300474,84.78272742963635,2.0816898,128.93999695969475,-22.248040623514246,0.0484994
37,J075544.34+243952.4,118.9347612,24.6645738,13.364,0.04,12.758,0.044,10.967,0.149,8.78,0.427,15.548,0.182,14.89,0.213,14.795,0.18,118.93474772902135,24.664027506467736,174976967655730,19.653639,18.559631,17.540443,17.204887,16.7246,0.08218384,0.014997905,0.034045428,0.011728216,0.012672361,6876380904483256314,118.93474608000929,24.664028586937796,0.9076835838717711,0.2225494691283049,4.07857,-2.2070975782368842,0.3843971999075966,-7.775006593650648,0.2350267629613502,0.4016645909289794,18.455208,19.373339,17.333576,0.00262869223738,0.0145034187369,0.0407415433659,1.5116893,65.32200725117018,2.0397625,196.55385464822217,24.471191331179764,0.06296368
38,J204910.63-005046.8,312.2942981,-0.8463397,5.438,0.179,5.108,0.068,4.356,0.014,3.442,0.022,7.005,0.019,6.059,0.023,5.62,0.016,312.294256043988,-0.8463731412529679,397726856532274,15.345181,13.518821,10.314982,11.767595,10.999217,0.007042408,0.008514596,0.018316269,0.09734011,0.009937763,-4697447925393864592,312.2942544440001,-0.8463693349952542,0.7724216329169569,0.20362091555197953,3.7934296,-1.335901880025351,0.29566247643625293,-4.135547378229422,0.17623249568108904,0.5558984500093574,11.666587,14.89137,10.118872,0.00647436315044,0.0178818198787,0.0175674773235,1.8097891,18.88738595063551,4.772498,46.54698619010205,-26.362964383700067,0.0728867
39,J221858.08-131711.2,334.7420356,-13.2864522,14.078,0.03,13.732,0.037,12.012,-9999.0,8.675,-9999.0,15.841,0.106,15.324,0.143,14.785,0.136,334.74166250017817,-13.286352164703688,440393061694348,20.423502,19.226992,18.173555,17.993942,17.50816,0.015265465,0.04198497,0.051219746,0.09213667,0.06669399,-2805531461619231965,334.74160388745696,-13.286369618484782,0.1671256316519872,0.4734858070557373,0.35296863,-11.768918661219281,0.9539670046846017,-9.65112419322091,0.8354873474019434,1.4287038034556767,19.253845,19.506222,17.55535,0.0075593330752,0.0547314615473,0.149648885734,2.6173077,231.65164464736944,1.9508724,46.465863358927166,-51.83575934508908,0.04123937
40,J151903.95+623048.7,229.7664929,62.5135378,6.373,0.087,5.86,0.044,4.836,0.015,4.074,0.025,7.958,0.02,7.251,0.02,6.876,0.018,229.76651498605386,62.51351242008867,330063941805263,12.668482,12.032327,9.967602,10.100278,9.479974,0.045715176,0.0025577545,0.041684628,0.022834778,0.10790584,8023954384532584580,229.7665072340767,62.513541994078295,0.1364376911348407,0.034341730089805705,3.9729416,-2.0911434848783874,0.060432326733300755,-1.4312395623619028,0.06796833280525652,0.14255916061122298,10.470715,11.9926605,9.257472,0.0090476207005,0.0172086898463,0.0354914518537,1.4828042,6.421327759219217,2.7351885,98.88837320365019,47.13553235257779,0.028574832
41,J120132.15-202820.9,180.3839693,-20.4724929,14.301,0.028,13.904,0.037,10.262,0.067,8.819,0.481,16.347,0.11,15.728,0.164,15.115,0.15,180.3836358688876,-20.472307181171242,460210040763313,20.373646,19.539959,18.49135,18.116491,17.914745,0.07802755,0.0155239105,0.029022697,0.033499517,0.015355668,1104419847682433022,180.38360432758856,-20.472299101732336,0.8468571792980971,0.8980503897022104,0.9429952,-8.084667027483134,1.1404026879044904,-25.7093807997844,0.5244125830621499,0.0,19.591784,20.224419,18.115911,0.00428553636972,0.0227530964832,0.0700156389797,2.0681162,726.3341020535959,2.1085072,287.4036281396435,40.88979501875531,0.050908696
42,J214542.22+240909.5,326.4259349,24.15265,4.275,0.272,3.954,0.178,3.404,0.012,2.461,0.018,5.779,0.021,4.901,0.017,4.494,0.02,326.4259769895575,24.15264399459557,193857643925047,13.175107,11.655218,8.871125,8.637947,,0.13657665,0.0056708655,0.03000927,0.001,,-5451906416094548446,326.4259602623322,24.152631585795024,0.4548440697869581,0.19497905678240307,2.3327842,-7.220536527910541,0.2871551838682818,-8.900970941081567,0.25571972491164113,0.43922402906704183,9.984497,12.880017,8.527634,0.0112076062806,0.0348498273514,0.0546265508248,1.6808554,131.3634314448689,4.3523836,77.48491505893927,-21.907218669705117,0.067808785
43,J122411.88-193008.2,186.0495241,-19.5022843,3.96,0.493,3.52,0.182,3.042,0.011,2.207,0.022,5.502,0.029,4.678,0.044,4.255,0.027,186.04944609204526,-19.502321890567604,460643832438389,13.094339,12.337622,7.5526595,8.40402,5.3858123,0.001,0.33686566,0.1570468,0.001,0.08835006,1464479119453513012,186.0494038240064,-19.50233214442423,0.9545829779759336,0.11605598684496292,8.225194,0.09758838542642567,0.20746463125885653,-1.8926870493434815,0.15189297672980334,0.41486795619710737,9.731951,12.725762,8.246181,0.00558058153391,0.0166880841387,0.0210136942609,1.720425,3.591787759722671,4.479582,294.154509729352,42.90458980775909,0.047270313
44,J164406.53+080731.1,251.0272146,8.1253238,6.546,0.074,6.056,0.031,5.521,0.016,5.109,0.031,7.779,0.024,6.959,0.024,6.694,0.018,251.02722821006688,8.125299685843741,109491601304016,14.154302,13.810107,10.247393,10.696805,10.460797,0.008144379,0.031137466,0.057554796,0.44916484,0.12055032,6434817034768365715,251.02721894168647,8.125308658196518,0.004920662228885653,0.1420319990088731,0.034644745,-0.8286682562136829,0.19494476465065486,-4.721748894617523,0.20674228062482944,0.44199647742067455,11.932917,14.802453,10.355438,0.0169038103224,0.0643282708507,0.124733710621,1.8735986,22.981603702678026,4.447015,25.326896225169218,31.94778673092015,0.093924016
45,J235620.88-110123.9,359.0870186,-11.0233312,14.616,0.031,14.269,0.051,12.258,0.403,8.866,-9999.0,16.623,0.144,15.772,0.13,15.345,0.168,359.0869689058909,-11.023195365684394,442325796944039,20.450623,19.437098,18.7982,18.424355,18.145,0.031823926,0.024022447,0.026498308,0.024753504,0.019277077,-1687301747892011076,359.0869518211002,-11.023192193341576,-1.3318348528002448,1.1862139321633947,-1.1227611,18.170839827634847,1.381196565823316,-3.983236339569633,1.1950439136106243,1.1087397186816936,20.185266,20.18355,18.061861,0.00648070150734,0.0241247420182,0.0705942890272,3.7458427,346.04559177842884,2.1216888,81.47609643072975,-69.33143507388188,0.034470774
46,J115220.15-180522.1,178.08399,-18.089474,13.695,0.027,13.208,0.032,10.05,0.058,7.53,0.145,16.491,0.132,15.395,0.11,14.882,0.142,178.0839555791067,-18.089462398284976,460145616241266,21.4633,19.700354,18.57004,18.210907,17.82195,0.050814133,0.016612401,0.0047744517,0.010338912,0.005896346,1327453582353567571,178.08396279741768,-18.089465764809418,-0.30222341942335484,0.4623081895657304,-0.6537272,0.7081548534496882,0.8603643235806958,0.1598542993853087,0.44331488103954586,0.5360041407102608,19.339369,20.55109,18.152624,0.00317918732086,0.0119584522338,0.0721530426901,1.5110949,0.5270366934963173,2.398466,283.7140791752106,42.56596031849973,0.033532966
47,J150149.08-233849.8,225.4545097,-23.647194,14.251,0.029,13.889,0.041,12.081,-9999.0,9.02,-9999.0,16.384,0.122,15.471,0.133,14.933,0.155,225.45465083501227,-23.647058157507566,505805413566517,20.266169,19.050705,18.539501,18.18096,18.09137,0.06383895,0.03281702,0.021960301,0.049896497,0.054345574,3245705548636633547,225.45470814107688,-23.64705889457891,0.4685236182386964,0.8024420145180392,0.58387226,5.3612206698042515,2.0036293131002836,-10.612823373784675,1.9203079298761438,2.989166372551963,19.927698,20.071487,17.994926,0.0092502116547,0.0499715348374,0.150004793526,3.1687965,141.3747070334867,2.076561,337.7744803142138,30.26212890203944,0.13411161
48,J161828.03-081143.7,244.6168136,-8.1954899,3.882,0.283,3.129,0.333,2.717,0.011,2.356,0.018,7.788,0.029,6.275,0.042,5.085,0.021,244.61685963843257,-8.195571641238573,427825987396837,13.0767765,10.400975,9.502023,9.816712,10.02408,0.001,0.10238838,0.06033945,0.030663013,0.0819273,5119115032692755627,244.6168583487719,-8.195573906453994,0.3454780725302533,0.0768809616610153,4.493675,-8.179220594481352,0.14859944322565416,-16.526257902442143,0.08597575317001555,0.1765213412583949,10.604191,12.917221,9.499456,0.0404398950783,0.12028833992,0.150929261043,1.2655576,340.0168497912193,3.4177647,5.341433191670521,28.702918699122495,0.24913192
49,J213336.04+103256.4,323.4001877,10.5490017,14.308,0.028,13.981,0.039,11.186,0.172,8.655,-9999.0,15.796,-9999.0,15.262,-9999.0,14.915,0.138,323.39998295850677,10.548388839825007,119623429163763,20.706911,19.504768,18.640131,18.2235,18.034248,0.053640004,0.007784736,0.00810895,0.005370555,0.01466818,-4822317261937058599,323.3999822012822,10.548386637610509,0.9916034464369774,0.5146346340635087,1.9268105,-0.30429658085713573,1.205505858219437,-2.2762618731038997,1.0694206392996994,0.2820698026041847,19.359892,20.402052,18.128004,0.00635798675164,0.0397450058546,0.162175447537,1.6056478,5.273964524067817,2.2740479,64.23505137197269,-29.02736549022896,0.056738235
50,J083517.15+125634.7,128.8214587,12.9429891,13.961,0.026,13.549,0.038,10.361,0.108,8.221,0.305,15.236,-9999.0,14.615,-9999.0,14.766,0.104,128.82204024092474,12.942740035012406,98054103371815,20.400915,19.187859,18.164896,17.780935,17.568132,0.007676553,0.016074881,0.011235692,0.004222872,0.0042941426,5705603331041337671,128.8220427246371,12.942737808776164,0.4753901217019447,0.3895307666847708,1.2204174,-4.26426169014806,0.648742542623129,-4.893495345519769,0.40190346565467266,0.6698244753973418,18.973402,19.764894,17.726294,0.00278098263892,0.0212686698247,0.0546974774399,1.6972655,42.13022445868803,2.038601,212.61907507585968,28.806515493770874,0.046890613
